Date : 2025-08-10 11:42:33
Directory : /home/ewt/typetutor-deno
Total : 142 files,  14108 codes, 1192 comments, 1810 blanks, all 17110 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         46 |      5,392 |        777 |        749 |      6,918 |
| TypeScript JSX |         41 |      4,830 |        351 |        509 |      5,690 |
| JSON           |         35 |      2,042 |          0 |         35 |      2,077 |
| Markdown       |          8 |      1,573 |          0 |        451 |      2,024 |
| XML            |          2 |         84 |          1 |          3 |         88 |
| CSS            |          1 |         67 |          2 |         14 |         83 |
| YAML           |          2 |         48 |         11 |         17 |         76 |
| JavaScript     |          3 |         36 |         22 |          9 |         67 |
| Nix            |          1 |         17 |         18 |         12 |         47 |
| Python         |          2 |         16 |          8 |          8 |         32 |
| Shell Script   |          1 |          3 |          2 |          3 |          8 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        142 |     14,108 |      1,192 |      1,810 |     17,110 |
| . (Files)                                                                                      |         13 |      1,123 |         40 |        308 |      1,471 |
| .github                                                                                        |          1 |         45 |          2 |         13 |         60 |
| .github/workflows                                                                              |          1 |         45 |          2 |         13 |         60 |
| .roo                                                                                           |          1 |          3 |          0 |          1 |          4 |
| components                                                                                     |         15 |      1,126 |         59 |        119 |      1,304 |
| config                                                                                         |          1 |         45 |          4 |          4 |         53 |
| constants                                                                                      |          1 |        172 |         17 |         15 |        204 |
| contexts                                                                                       |          1 |         98 |         11 |         14 |        123 |
| docs                                                                                           |          2 |        296 |          0 |        108 |        404 |
| functions                                                                                      |          8 |        940 |        101 |        142 |      1,183 |
| hooks                                                                                          |          4 |        707 |         92 |         83 |        882 |
| islands                                                                                        |         15 |      3,529 |        290 |        366 |      4,185 |
| routes                                                                                         |         22 |        758 |         22 |         87 |        867 |
| routes (Files)                                                                                 |         11 |        175 |          2 |         24 |        201 |
| routes/api                                                                                     |         11 |        583 |         20 |         63 |        666 |
| routes/api (Files)                                                                             |          2 |         63 |          0 |          6 |         69 |
| routes/api/admin                                                                               |          1 |        100 |          6 |          9 |        115 |
| routes/api/quotes                                                                              |          4 |        305 |         11 |         31 |        347 |
| routes/api/quotes (Files)                                                                      |          1 |         49 |          2 |          5 |         56 |
| routes/api/quotes/categories                                                                   |          1 |         65 |          2 |          7 |         74 |
| routes/api/quotes/content                                                                      |          1 |        112 |          5 |         11 |        128 |
| routes/api/quotes/content/[lang]                                                               |          1 |        112 |          5 |         11 |        128 |
| routes/api/quotes/content/[lang]/[category]                                                    |          1 |        112 |          5 |         11 |        128 |
| routes/api/quotes/metadata                                                                     |          1 |         79 |          2 |          8 |         89 |
| routes/api/quotes/metadata/[lang]                                                              |          1 |         79 |          2 |          8 |         89 |
| routes/api/translations                                                                        |          3 |         76 |          0 |         10 |         86 |
| routes/api/trigraphs                                                                           |          1 |         39 |          3 |          7 |         49 |
| static                                                                                         |         43 |      2,539 |         33 |        140 |      2,712 |
| static (Files)                                                                                 |          3 |        151 |          3 |         17 |        171 |
| static/content                                                                                 |         33 |      1,340 |         30 |         45 |      1,415 |
| static/content/code                                                                            |          5 |         52 |         30 |         17 |         99 |
| static/content/code/javascript                                                                 |          3 |         36 |         22 |          9 |         67 |
| static/content/code/python                                                                     |          2 |         16 |          8 |          8 |         32 |
| static/content/quotes                                                                          |         28 |      1,288 |          0 |         28 |      1,316 |
| static/content/quotes (Files)                                                                  |          1 |         18 |          0 |          1 |         19 |
